id,name,latitude,longitude,prefecture,line_name
bf6fe635-5682-4253-9e52-524220d9a38f,昆布,42.797984,140.596107,北海道,JR函館本線(長万部～小樽)
9e5b2b42-58c3-4fb8-a03f-c22810fe683c,ニセコ,42.808746,140.684588,北海道,JR函館本線(長万部～小樽)
07ccb658-7d37-418e-b6db-74b32b6e88d0,比羅夫,42.84856,140.722615,北海道,JR函館本線(長万部～小樽)
6a940585-4e9f-4f31-958e-2daac40fb0ab,倶知安,42.90164,140.745471,北海道,JR函館本線(長万部～小樽)
b8b1ef60-1847-4934-aefd-b8a2891e42c9,小沢,42.97185,140.677657,北海道,JR函館本線(長万部～小樽)
f1cc2dbe-3212-4858-8b1f-e3268644d8fb,銀山,43.040888,140.715321,北海道,JR函館本線(長万部～小樽)
4c4068b5-8712-4158-aad8-a3466a0213f3,然別,43.12551,140.737211,北海道,JR函館本線(長万部～小樽)
7059dbc9-11b9-4afd-8b34-757488999213,仁木,43.154091,140.770546,北海道,JR函館本線(長万部～小樽)
5c6a9456-5a1a-4dcd-aa71-7f349e16dc13,余市,43.186558,140.794686,北海道,JR函館本線(長万部～小樽)
839a788f-83e6-4e6d-8fc6-f3da3ac9ef2d,蘭島,43.19651,140.854643,北海道,JR函館本線(長万部～小樽)
076dedd2-b325-4930-9678-c88d98e61ae9,塩谷,43.202406,140.924546,北海道,JR函館本線(長万部～小樽)
b8138d72-58b6-49e5-9bd9-2d1723fe88f1,小樽,43.197172,140.993653,北海道,JR函館本線(長万部～小樽)
b57279e2-47d7-4f70-a160-4dfcc02f98cd,小樽,43.197172,140.993653,北海道,JR函館本線(小樽～旭川)
1b93c9fd-ee67-465f-80ee-7b8837446433,南小樽,43.186529,141.007883,北海道,JR函館本線(小樽～旭川)
59c66216-c555-459c-b203-e0850155a913,小樽築港,43.180752,141.029051,北海道,JR函館本線(小樽～旭川)
a0d32028-7dd1-4974-b17e-0061b8eb2056,朝里,43.176868,141.063923,北海道,JR函館本線(小樽～旭川)
a2992ca1-49d1-45e4-87f7-91982160315f,銭函,43.143403,141.159868,北海道,JR函館本線(小樽～旭川)
66c8c0fb-024c-4a9e-91cf-d1431c8295d8,ほしみ,43.13373,141.191402,北海道,JR函館本線(小樽～旭川)
f1c49395-ec22-4366-b29b-5e9e50c768a8,星置,43.132375,141.210856,北海道,JR函館本線(小樽～旭川)
83ceab5e-2804-49fa-8fea-766bb74f99af,稲穂,43.128115,141.222919,北海道,JR函館本線(小樽～旭川)
